Datum;Gästnätter i snitt per dag
2022-04-30;46 469
2022-05-01;25 609
2022-05-02;33 019
2022-05-03;36 906
2022-05-04;38 378
2022-05-05;37 450
2022-05-06;45 391
2022-05-07;52 287
2022-05-08;24 307
2022-05-09;33 663
2022-05-10;41 170
2022-05-11;40 804
2022-05-12;38 038
2022-05-13;46 215
2022-05-14;52 716
2022-05-15;26 639
2022-05-16;34 985
2022-05-17;40 128
2022-05-18;42 643
2022-05-19;42 284
2022-05-20;46 970
2022-05-21;51 469
2022-05-22;28 161
2022-05-23;36 911
2022-05-24;35 541
2022-05-25;33 478
2022-05-26;48 523
2022-05-27;59 859
2022-05-28;60 460
2022-05-29;31 881
2022-05-30;39 244
2022-05-31;43 690
2022-06-01;44 695
2022-06-02;45 672
2022-06-03;53 966
2022-06-04;58 831
2022-06-05;44 939
2022-06-06;29 574
2022-06-07;39 577
2022-06-08;42 544
2022-06-09;41 349
2022-06-10;47 622
2022-06-11;54 324
2022-06-12;32 517
2022-06-13;40 200
2022-06-14;44 995
2022-06-15;45 584
2022-06-16;44 589
2022-06-17;49 553
2022-06-18;56 496
2022-06-19;35 128
2022-06-20;40 870
2022-06-21;39 218
2022-06-22;33 323
2022-06-23;29 658
2022-06-24;37 073
2022-06-25;36 283
2022-06-26;31 661
2022-06-27;40 696
2022-06-28;49 303
2022-06-29;52 408
2022-06-30;45 040
2022-07-01;54 878
2022-07-02;59 136
2022-07-03;43 751
2022-07-04;40 970
2022-07-05;43 233
2022-07-06;41 979
2022-07-07;39 944
2022-07-08;44 548
2022-07-09;49 637
2022-07-10;38 008
2022-07-11;44 659
2022-07-12;46 969
2022-07-13;45 939
2022-07-14;44 896
2022-07-15;48 498
2022-07-16;50 875
2022-07-17;40 329
2022-07-18;45 030
2022-07-19;48 767
2022-07-20;52 829
2022-07-21;54 215
2022-07-22;51 077
2022-07-23;50 910
2022-07-24;39 733
2022-07-25;45 741
2022-07-26;49 070
2022-07-27;50 691
2022-07-28;51 574
2022-07-29;55 307
2022-07-30;59 045
2022-07-31;52 812
2022-08-01;44 618
2022-08-02;47 016
2022-08-03;47 444
2022-08-04;47 415
2022-08-05;51 534
2022-08-06;52 296
2022-08-07;36 524
2022-08-08;40 082
2022-08-09;42 850
2022-08-10;42 961
2022-08-11;43 884
2022-08-12;47 561
2022-08-13;52 275
2022-08-14;35 736
2022-08-15;42 456
2022-08-16;43 516
2022-08-17;44 465
2022-08-18;43 037
2022-08-19;47 311
2022-08-20;50 804
2022-08-21;32 930
2022-08-22;41 361
2022-08-23;45 691
2022-08-24;45 846
2022-08-25;45 825
2022-08-26;54 989
2022-08-27;57 788
2022-08-28;33 457
2022-08-29;39 466
2022-08-30;41 831
2022-08-31;39 695
2022-09-01;40 309
2022-09-02;47 737
2022-09-03;51 320
2022-09-04;28 401
2022-09-05;36 902
2022-09-06;41 654
2022-09-07;42 794
2022-09-08;41 206
2022-09-09;46 594
2022-09-10;48 942
2022-09-11;26 457
2022-09-12;35 264
2022-09-13;42 454
2022-09-14;42 378
2022-09-15;41 823
2022-09-16;46 623
2022-09-17;50 414
2022-09-18;28 044
2022-09-19;37 212
2022-09-20;42 366
2022-09-21;42 602
2022-09-22;40 777
2022-09-23;48 874
2022-09-24;54 266
2022-09-25;26 287
2022-09-26;34 844
2022-09-27;40 391
2022-09-28;40 561
2022-09-29;38 286
2022-09-30;45 016
2022-10-01;46 950
2022-10-02;23 909
2022-10-03;32 361
2022-10-04;37 803
2022-10-05;39 525
2022-10-06;40 014
2022-10-07;45 868
2022-10-08;49 473
2022-10-09;25 460
2022-10-10;34 336
2022-10-11;37 644
2022-10-12;37 973
2022-10-13;36 592
2022-10-14;42 553
2022-10-15;47 697
2022-10-16;26 181
2022-10-17;36 912
2022-10-18;41 213
2022-10-19;43 102
2022-10-20;40 511
2022-10-21;43 781
2022-10-22;47 873
2022-10-23;24 175
2022-10-24;34 290
2022-10-25;42 170
2022-10-26;41 450
2022-10-27;35 412
2022-10-28;41 200
2022-10-29;51 583
2022-10-30;30 484
2022-10-31;33 788
2022-11-01;33 822
2022-11-02;35 301
2022-11-03;39 221
2022-11-04;47 804
2022-11-05;46 261
2022-11-06;20 404
2022-11-07;29 449
2022-11-08;36 681
2022-11-09;37 065
2022-11-10;35 731
2022-11-11;41 714
2022-11-12;47 999
2022-11-13;22 561
2022-11-14;35 200
2022-11-15;40 394
2022-11-16;41 011
2022-11-17;39 583
2022-11-18;40 954
2022-11-19;46 072
2022-11-20;22 967
2022-11-21;31 157
2022-11-22;35 989
2022-11-23;37 414
2022-11-24;38 502
2022-11-25;49 312
2022-11-26;52 385
2022-11-27;22 942
2022-11-28;30 263
2022-11-29;35 593
2022-11-30;35 110
2022-12-01;35 858
2022-12-02;43 605
2022-12-03;48 432
2022-12-04;23 408
2022-12-05;30 557
2022-12-06;34 364
2022-12-07;37 244
2022-12-08;36 362
2022-12-09;43 445
2022-12-10;47 003
2022-12-11;22 691
2022-12-12;26 863
2022-12-13;29 768
2022-12-14;33 201
2022-12-15;30 084
2022-12-16;32 548
2022-12-17;34 495
2022-12-18;19 936
2022-12-19;22 407
2022-12-20;21 130
2022-12-21;18 959
2022-12-22;18 687
2022-12-23;21 268
2022-12-24;24 013
2022-12-25;22 176
2022-12-26;24 591
2022-12-27;29 205
2022-12-28;30 449
2022-12-29;30 376
2022-12-30;31 899
2022-12-31;44 144
2023-01-01;23 740
2023-01-02;22 552
2023-01-03;23 041
2023-01-04;22 381
2023-01-05;24 319
2023-01-06;29 812
2023-01-07;26 963
2023-01-08;13 771
2023-01-09;18 996
2023-01-10;23 465
2023-01-11;24 509
2023-01-12;20 569
2023-01-13;24 627
2023-01-14;29 532
2023-01-15;18 698
2023-01-16;24 815
2023-01-17;29 625
2023-01-18;30 117
2023-01-19;26 789
2023-01-20;29 362
2023-01-21;32 697
2023-01-22;16 767
2023-01-23;26 679
2023-01-24;31 953
2023-01-25;34 000
2023-01-26;29 548
2023-01-27;35 359
2023-01-28;41 294
2023-01-29;22 432
2023-01-30;23 845
2023-01-31;27 302
2023-02-01;30 370
2023-02-02;26 281
2023-02-03;31 168
2023-02-04;35 815
2023-02-05;18 953
2023-02-06;29 045
2023-02-07;35 881
2023-02-08;37 099
2023-02-09;31 236
2023-02-10;35 271
2023-02-11;42 224
2023-02-12;19 739
2023-02-13;25 539
2023-02-14;31 203
2023-02-15;31 509
2023-02-16;28 925
2023-02-17;34 930
2023-02-18;39 815
2023-02-19;21 943
2023-02-20;27 065
2023-02-21;30 468
2023-02-22;30 914
2023-02-23;27 803
2023-02-24;35 065
2023-02-25;39 349
2023-02-26;20 226
2023-02-27;23 215
2023-02-28;24 787
2023-03-01;28 339
2023-03-02;24 986
2023-03-03;32 318
2023-03-04;37 065
2023-03-05;20 942
2023-03-06;26 495
2023-03-07;32 179
