"flight_date","total_landings"
"2020-09-23 00:00:00.000 Europe/Stockholm","102"
"2020-09-24 00:00:00.000 Europe/Stockholm","109"
"2020-09-25 00:00:00.000 Europe/Stockholm","109"
"2020-09-26 00:00:00.000 Europe/Stockholm","60"
"2020-09-27 00:00:00.000 Europe/Stockholm","102"
"2020-09-28 00:00:00.000 Europe/Stockholm","104"
"2020-09-29 00:00:00.000 Europe/Stockholm","93"
"2020-09-30 00:00:00.000 Europe/Stockholm","105"
"2020-10-01 00:00:00.000 Europe/Stockholm","105"
"2020-10-02 00:00:00.000 Europe/Stockholm","115"
"2020-10-03 00:00:00.000 Europe/Stockholm","56"
"2020-10-04 00:00:00.000 Europe/Stockholm","95"
"2020-10-05 00:00:00.000 Europe/Stockholm","111"
"2020-10-06 00:00:00.000 Europe/Stockholm","92"
"2020-10-07 00:00:00.000 Europe/Stockholm","108"
"2020-10-08 00:00:00.000 Europe/Stockholm","104"
"2020-10-09 00:00:00.000 Europe/Stockholm","117"
"2020-10-10 00:00:00.000 Europe/Stockholm","60"
"2020-10-11 00:00:00.000 Europe/Stockholm","101"
"2020-10-12 00:00:00.000 Europe/Stockholm","108"
"2020-10-13 00:00:00.000 Europe/Stockholm","101"
"2020-10-14 00:00:00.000 Europe/Stockholm","103"
"2020-10-15 00:00:00.000 Europe/Stockholm","105"
"2020-10-16 00:00:00.000 Europe/Stockholm","116"
"2020-10-17 00:00:00.000 Europe/Stockholm","63"
"2020-10-18 00:00:00.000 Europe/Stockholm","95"
"2020-10-19 00:00:00.000 Europe/Stockholm","105"
"2020-10-20 00:00:00.000 Europe/Stockholm","96"
"2020-10-21 00:00:00.000 Europe/Stockholm","95"
"2020-10-22 00:00:00.000 Europe/Stockholm","105"
"2020-10-23 00:00:00.000 Europe/Stockholm","113"
"2020-10-24 00:00:00.000 Europe/Stockholm","67"
"2020-10-25 00:00:00.000 Europe/Stockholm","100"
"2020-10-26 00:00:00.000 Europe/Stockholm","106"
"2020-10-27 00:00:00.000 Europe/Stockholm","87"
"2020-10-28 00:00:00.000 Europe/Stockholm","91"
"2020-10-29 00:00:00.000 Europe/Stockholm","101"
"2020-10-30 00:00:00.000 Europe/Stockholm","116"
"2020-10-31 00:00:00.000 Europe/Stockholm","66"
"2020-11-01 00:00:00.000 Europe/Stockholm","109"
"2020-11-02 00:00:00.000 Europe/Stockholm","105"
"2020-11-03 00:00:00.000 Europe/Stockholm","93"
"2020-11-04 00:00:00.000 Europe/Stockholm","103"
"2020-11-05 00:00:00.000 Europe/Stockholm","103"
"2020-11-06 00:00:00.000 Europe/Stockholm","109"
"2020-11-07 00:00:00.000 Europe/Stockholm","59"
"2020-11-08 00:00:00.000 Europe/Stockholm","92"
"2020-11-09 00:00:00.000 Europe/Stockholm","104"
"2020-11-10 00:00:00.000 Europe/Stockholm","79"
"2020-11-11 00:00:00.000 Europe/Stockholm","89"
"2020-11-12 00:00:00.000 Europe/Stockholm","95"
"2020-11-13 00:00:00.000 Europe/Stockholm","88"
"2020-11-14 00:00:00.000 Europe/Stockholm","47"
"2020-11-15 00:00:00.000 Europe/Stockholm","78"
"2020-11-16 00:00:00.000 Europe/Stockholm","84"
"2020-11-17 00:00:00.000 Europe/Stockholm","72"
"2020-11-18 00:00:00.000 Europe/Stockholm","79"
